param	method	ops_s	ops_s_err	gb_s	instructions	cycles	branches	branch_misses	L1_dcache_load_misses
5	simdParse	3.81	0.40	0.3993	0.000000	0.000000	0.000000	0.000000	0.000000
5	fastCsv	3.07	0.07	0.3221	0.000000	0.000000	0.000000	0.000000	0.000000
10	simdParse	8.33	0.12	0.8731	0.000000	0.000000	0.000000	0.000000	0.000000
10	fastCsv	3.33	0.46	0.3489	0.000000	0.000000	0.000000	0.000000	0.000000
25	simdParse	7.01	6.94	0.7354	0.000000	0.000000	0.000000	0.000000	0.000000
25	fastCsv	3.38	0.26	0.3546	0.000000	0.000000	0.000000	0.000000	0.000000
50	simdParse	8.61	0.19	0.9031	0.000000	0.000000	0.000000	0.000000	0.000000
50	fastCsv	3.50	0.18	0.3671	0.000000	0.000000	0.000000	0.000000	0.000000
100	simdParse	8.71	0.26	0.9134	0.000000	0.000000	0.000000	0.000000	0.000000
100	fastCsv	3.51	0.28	0.3683	0.000000	0.000000	0.000000	0.000000	0.000000
