density	rounds	observed	predicted	residual
0.15	1	70.765247	65.061877	5.703370
0.15	1	70.522616	65.061877	5.460739
0.15	1	70.548287	65.061877	5.486410
0.15	2	72.165288	103.525919	-31.360631
0.15	2	70.686550	103.525919	-32.839369
0.05	1	55.477400	52.278239	3.199161
0.30	1	86.010580	84.237334	1.773246
0.50	1	109.958693	109.804610	0.154083
0.15	2	109.571690	103.525919	6.045771
0.15	3	143.374305	141.989961	1.384344
0.15	4	198.915851	180.454004	18.461847
0.15	1	70.579542	65.061877	5.517665
0.15	1	70.505043	65.061877	5.443166
0.15	1	70.632073	65.061877	5.570196
