density	rounds	observed	predicted	residual
0.15	1	75.454611	71.042583	4.412028
0.15	1	75.610462	71.042583	4.567879
0.15	1	75.943448	71.042583	4.900865
0.15	2	77.055308	114.529511	-37.474203
0.15	2	75.825875	114.529511	-38.703636
0.05	1	61.133399	58.713781	2.419618
0.30	1	90.876404	89.535786	1.340618
0.50	1	114.310159	114.193390	0.116769
0.15	2	143.301509	114.529511	28.771998
0.15	3	159.186164	158.016440	1.169724
0.15	4	216.525499	201.503368	15.022131
0.15	1	75.596667	71.042583	4.554084
0.15	1	75.338063	71.042583	4.295480
0.15	1	75.649226	71.042583	4.606643
