density	rounds	simd_predicted	regex_predicted	regexconv_predicted
0.05	1	3.7371	52.2782	58.7138
0.05	2	5.4902	90.7423	102.2007
0.05	3	7.2432	129.2063	145.6876
0.05	4	8.9962	167.6704	189.1746
0.10	1	4.0213	58.6701	64.8782
0.10	2	5.7743	97.1341	108.3651
0.10	3	7.5273	135.5981	151.8520
0.10	4	9.2803	174.0622	195.3390
0.15	1	4.3054	65.0619	71.0426
0.15	2	6.0584	103.5259	114.5295
0.15	3	7.8114	141.9900	158.0164
0.15	4	9.5645	180.4540	201.5034
0.20	1	4.5895	71.4537	77.2070
0.20	2	6.3425	109.9177	120.6939
0.20	3	8.0956	148.3818	164.1808
0.20	4	9.8486	186.8458	207.6678
0.25	1	4.8736	77.8455	83.3714
0.25	2	6.6267	116.3096	126.8583
0.25	3	8.3797	154.7736	170.3452
0.25	4	10.1327	193.2376	213.8322
0.30	1	5.1578	84.2373	89.5358
0.30	2	6.9108	122.7014	133.0227
0.30	3	8.6638	161.1654	176.5096
0.30	4	10.4168	199.6295	219.9966
0.35	1	5.4419	90.6292	95.7002
0.35	2	7.1949	129.0932	139.1871
0.35	3	8.9479	167.5572	182.6740
0.35	4	10.7010	206.0213	226.1610
0.40	1	5.7260	97.0210	101.8646
0.40	2	7.4791	135.4850	145.3515
0.40	3	9.2321	173.9491	188.8384
0.40	4	10.9851	212.4131	232.3254
0.45	1	6.0102	103.4128	108.0290
0.45	2	7.7632	141.8768	151.5159
0.45	3	9.5162	180.3409	195.0028
0.45	4	11.2692	218.8049	238.4898
0.50	1	6.2943	109.8046	114.1934
0.50	2	8.0473	148.2687	157.6803
0.50	3	9.8003	186.7327	201.1672
0.50	4	11.5534	225.1967	244.6542
