param	method	ops_s	ops_s_err	gb_s	instructions	cycles	branches	branch_misses	L1_dcache_load_misses
2	simdCompiled	206.76	5.39	2.1680	4.264871	1.985655	0.674790	0.017299	0.027508
2	simdC2Jit	205.98	1.84	2.1599	4.278706	1.972796	0.705226	0.016321	0.027539
2	regex	20.25	0.31	0.2123	70.765247	21.098479	15.997635	0.165518	0.016242
2	regexWithConversion	19.14	2.49	0.2006	75.454611	22.715114	17.437240	0.163831	0.053541
4	simdCompiled	204.39	2.16	2.1432	4.266004	2.015730	0.673405	0.017160	0.027514
4	simdC2Jit	209.62	1.98	2.1980	4.272814	1.937167	0.705113	0.016197	0.027516
4	regex	20.28	0.10	0.2127	70.522616	21.154566	15.949573	0.165702	0.016229
4	regexWithConversion	19.00	0.09	0.1993	75.610462	22.235089	17.460212	0.167278	0.053903
8	simdCompiled	208.26	1.74	2.1838	4.236034	1.970032	0.672393	0.017174	0.027490
8	simdC2Jit	212.85	1.06	2.2319	4.280335	1.941086	0.705850	0.016469	0.027540
8	regex	20.16	0.42	0.2114	70.548287	21.178921	15.926763	0.165579	0.016153
8	regexWithConversion	19.49	0.19	0.2044	75.943448	22.252495	17.524637	0.167213	0.048802
12	simdCompiled	177.76	1.45	1.8640	5.455910	2.286119	0.868755	0.016448	0.027526
12	simdC2Jit	188.54	1.41	1.9770	5.587535	2.137995	0.900924	0.016765	0.027528
12	regex	20.80	0.24	0.2181	72.165288	20.457460	15.942175	0.158711	0.016378
12	regexWithConversion	19.61	0.20	0.2056	77.055308	21.705363	17.366757	0.160901	0.055013
20	simdCompiled	188.31	5.80	1.9746	5.460534	2.177628	0.869317	0.016681	0.027531
20	simdC2Jit	190.84	1.90	2.0012	5.588318	2.114655	0.900549	0.016482	0.027527
20	regex	19.97	0.81	0.2094	70.686550	21.065281	15.982916	0.164223	0.016173
20	regexWithConversion	19.43	0.20	0.2038	75.825875	22.224697	17.449942	0.166339	0.051528
