param	method	ops_s	ops_s_err	gb_s	instructions	cycles	branches	branch_misses	L1_dcache_load_misses
5	simdCompiled	233.12	1.63	2.4444	3.639298	1.720299	0.549942	0.015691	0.019674
5	simdC2Jit	240.31	1.64	2.5198	3.680688	1.667345	0.580220	0.015849	0.019667
5	regex	33.46	1.08	0.3509	55.477400	12.694510	12.644945	0.053298	0.016151
5	regexWithConversion	31.62	0.30	0.3316	61.133399	13.929063	14.197587	0.054559	0.052887
15	simdCompiled	208.26	1.74	2.1838	4.236034	1.970032	0.672393	0.017174	0.027490
15	simdC2Jit	212.85	1.06	2.2319	4.280335	1.941086	0.705850	0.016469	0.027540
15	regex	20.16	0.42	0.2114	70.548287	21.178921	15.926763	0.165579	0.016153
15	regexWithConversion	19.49	0.19	0.2044	75.943448	22.252495	17.524637	0.167213	0.048802
30	simdCompiled	172.09	2.59	1.8045	5.136450	2.405158	0.861725	0.016281	0.039233
30	simdC2Jit	182.36	3.80	1.9122	5.127728	2.319047	0.891310	0.016503	0.039233
30	regex	13.78	0.26	0.1445	86.010580	30.900988	19.414153	0.338143	0.016978
30	regexWithConversion	12.96	1.01	0.1359	90.876404	32.631679	20.781338	0.346636	0.050869
50	simdCompiled	158.40	3.07	1.6609	6.275468	2.655084	1.111053	0.015866	0.055014
50	simdC2Jit	165.05	1.82	1.7307	6.284627	2.529638	1.142322	0.015941	0.054862
50	regex	9.69	0.19	0.1016	109.958693	42.916153	24.992894	0.500293	0.017280
50	regexWithConversion	9.29	0.39	0.0975	114.310159	44.915352	26.450225	0.503986	0.056605
