param	method	ops_s	ops_s_err	gb_s	instructions	cycles	branches	branch_misses	L1_dcache_load_misses
1	simdCompiled	204.05	9.32	2.1396	4.266327	1.993595	0.674947	0.017256	0.027551
1	simdC2Jit	214.25	6.70	2.2465	4.274982	1.915046	0.705287	0.016005	0.027537
1	regex	19.77	0.59	0.2073	70.579542	21.158873	15.957832	0.164990	0.016442
1	regexWithConversion	19.11	0.25	0.2003	75.596667	22.195744	17.104602	0.163957	0.053987
2	simdCompiled	208.26	1.74	2.1838	4.236034	1.970032	0.672393	0.017174	0.027490
2	simdC2Jit	212.85	1.06	2.2319	4.280335	1.941086	0.705850	0.016469	0.027540
2	regex	20.16	0.42	0.2114	70.548287	21.178921	15.926763	0.165579	0.016153
2	regexWithConversion	19.49	0.19	0.2044	75.943448	22.252495	17.524637	0.167213	0.048802
4	simdCompiled	203.05	3.27	2.1291	4.265801	1.994554	0.675050	0.017303	0.027539
4	simdC2Jit	211.33	1.82	2.2160	4.277260	1.949993	0.705516	0.016464	0.027540
4	regex	19.94	0.51	0.2091	70.505043	21.117103	15.950332	0.166247	0.016749
4	regexWithConversion	19.16	0.24	0.2009	75.338063	22.235619	17.326495	0.164592	0.050756
8	simdCompiled	202.54	1.99	2.1238	4.250040	1.998038	0.673070	0.017254	0.027546
8	simdC2Jit	209.44	9.74	2.1961	4.274304	1.932335	0.705056	0.016140	0.027527
8	regex	19.96	0.29	0.2093	70.632073	21.056967	15.954386	0.164081	0.016498
8	regexWithConversion	19.32	0.71	0.2026	75.649226	22.303155	17.225696	0.163498	0.050663
