param	method	ops_s	ops_s_err	gb_s	instructions	cycles	branches	branch_misses	L1_dcache_load_misses
0	simdCompiled	208.26	1.74	2.1838	4.236034	1.970032	0.672393	0.017174	0.027490
0	simdC2Jit	212.85	1.06	2.2319	4.280335	1.941086	0.705850	0.016469	0.027540
0	regex	20.16	0.42	0.2114	70.548287	21.178921	15.926763	0.165579	0.016153
0	regexWithConversion	19.49	0.19	0.2044	75.943448	22.252495	17.524637	0.167213	0.048802
1	simdCompiled	152.31	1.70	1.5971	7.650024	2.611661	1.075408	0.017803	0.027295
1	simdC2Jit	150.38	1.36	1.5768	8.024296	2.650219	1.234941	0.017918	0.027309
1	regex	13.52	0.18	0.1418	109.571690	30.686006	22.255741	0.175412	0.031393
1	regexWithConversion	7.82	0.47	0.0820	143.301509	55.860075	23.668554	0.249754	0.152132
2	simdCompiled	143.81	1.02	1.5080	8.292731	2.777238	1.201942	0.017609	0.027348
2	simdC2Jit	142.34	0.84	1.4925	9.100019	2.862120	1.360772	0.017707	0.027366
2	regex	10.14	0.15	0.1064	143.374305	41.819639	33.221043	0.177973	0.031042
2	regexWithConversion	9.06	0.06	0.0950	159.186164	48.431004	35.913623	0.235795	0.130820
3	simdCompiled	130.70	3.11	1.3705	9.113194	3.043092	1.304895	0.017870	0.027479
3	simdC2Jit	66.90	0.47	0.7015	17.511157	6.133062	2.148848	0.018142	0.207060
3	regex	8.51	0.05	0.0892	198.915851	49.265062	40.786104	0.183373	0.031863
3	regexWithConversion	7.66	1.04	0.0803	216.525499	55.451750	43.722680	0.235767	0.148380
